index,a,b,time
road_link_0,road_node_7404,road_node_7453,0.9406267580579762
road_link_1,road_node_72447,road_node_88465,8.364888853899428
road_link_2,road_node_81749,road_node_17471,26.20844423099074
road_link_3,road_node_77277,road_node_55622,9.552442726328206
road_link_4,road_node_65476,road_node_19453,22.319196374020983
road_link_5,road_node_68445,road_node_31712,1.1676674411220576
road_link_6,road_node_19453,road_node_61382,9.441312137486543
road_link_7,road_node_9032,road_node_56283,10.697848654192677
road_link_8,road_node_35711,road_node_64147,7.8658929972490235
road_link_9,road_node_58739,road_node_4933,0.7248327067237003
road_link_10,road_node_976,road_node_30674,2.390638130853529
road_link_11,road_node_52320,road_node_19090,2.745605629592601
road_link_12,road_node_12781,road_node_1078,0.5982045066087265
road_link_13,road_node_12781,road_node_26692,78.15387368241015
road_link_14,road_node_1078,road_node_34613,0.4301194364666672
road_link_15,road_node_34613,road_node_12781,0.638661007279675
road_link_16,road_node_67212,road_node_20329,4.352495563029257
road_link_17,road_node_70843,road_node_91753,0.3445094854364162
road_link_18,road_node_70843,road_node_70359,12.163132882207536
road_link_19,road_node_91753,road_node_19957,6.637742566765907
road_link_20,road_node_3072,road_node_79667,0.5408457807196035
road_link_21,road_node_75722,road_node_3072,3.5757818496058316
road_link_22,road_node_4589,road_node_8564,1.2326482127195406
road_link_23,road_node_58586,road_node_37467,3.206446523967497
road_link_24,road_node_27659,road_node_70281,1.9997056673952678
road_link_25,road_node_64891,road_node_43903,2.2982074676649713
road_link_26,road_node_62857,road_node_30850,5.316755871856102
road_link_27,road_node_43903,road_node_37173,0.6543880256918265
road_link_28,road_node_70943,road_node_40686,1.2303894841745582
road_link_29,road_node_40686,road_node_52765,3.7983122170179655
road_link_30,road_node_40686,road_node_21879,8.075880493072791
road_link_31,road_node_49340,road_node_24214,17.48446475679718
road_link_32,road_node_13830,road_node_81076,5.11787558347284
road_link_33,road_node_24214,road_node_41396,30.626439442518993
road_link_34,road_node_82107,road_node_33001,65.86672957196622
road_link_35,road_node_11835,road_node_4360,8.181478163555012
road_link_36,road_node_82472,road_node_14265,2.7465428382498076
road_link_37,road_node_65936,road_node_73953,4.553841350586706
road_link_38,road_node_14265,road_node_59500,0.7472400232839501
road_link_39,road_node_56660,road_node_8579,31.8936355235505
road_link_40,road_node_8579,road_node_54193,31.17882664820821
road_link_41,road_node_75839,road_node_35247,8.3628217270677
road_link_42,road_node_92933,road_node_79775,1.089635394379063
road_link_43,road_node_3408,road_node_32855,20.657890575231505
road_link_44,road_node_69964,road_node_92933,32.230960097773746
road_link_45,road_node_32482,road_node_69964,21.459249529894542
road_link_46,road_node_32855,road_node_32482,1.0308222373962534
road_link_47,road_node_90287,road_node_79775,2.1030561754750496
road_link_48,road_node_55422,road_node_55422,7.19997637403838
road_link_49,road_node_81687,road_node_24910,2.5178170367363193
road_link_50,road_node_25362,road_node_72970,13.267556246151905
road_link_51,road_node_50496,road_node_80624,3.635716313746507
road_link_52,road_node_50247,road_node_89097,5.623955473881426
road_link_53,road_node_90190,road_node_35007,32.47953274060774
road_link_54,road_node_10716,road_node_90190,6.010245536234882
road_link_55,road_node_87340,road_node_80832,7.479617817818956
road_link_56,road_node_82107,road_node_88797,9.465452651024746
road_link_57,road_node_81387,road_node_32541,31.143409078570777
road_link_58,road_node_85290,road_node_75172,31.11477030246779
